Neighborhood,shomes10,shomes11,shomes12,shomes13,shomes14,salepr10,salepr11,salepr12,salepr13,salepr14,dom10,dom11,dom12,dom13,dom14,reosa11,reosa12,reosa13,reosa14,cashsa11,cashsa12,cashsa13,cashsa14,fore10,fore11,fore12,fore13,fore14,ownroc10,ownroc11,ownroc12,ownroc13,ownroc14,nomail10,nomail11,nomail12,nomail13,nomail14,totalres10,totalres11,totalres12,totalres13,totalres14,affordm13,affordr13,affordr14,homtax11,homtax12,homtax13,owntax11,owntax12,owntax13,histax12,histax13,resrehab10,resrehab11,resrehab12,resrehab13,homtax14,constper11,constper12,constper13,vacant10,vacant11,vacant12,vacant13,baltvac11,baltvac12,baltvac13,vio10,vio11,vio12,vio13,demper11,demper12,demper13,owntax14,resrehab14,constper14,vacant14,demper14,hcvhouse14
Sandtown-Winchester/Harlem Park,107,120,68,67,88,$12886.00,$26000.00,$34500.00,$32000.00,$18000.00,90,56,41,26,39,46.1%,26.4%,7.5%,1%,92.1%,88.7%,92.5%,93.2%,1.6%,0.8%,1.1%,1.6%,1.2%,33%,31.4%,31%,30.8%,30.3%,11.9%,12.4%,12.7%,12.3%,16.2,6076,6079,6070,6064,6057,38.9,52.4,52.4,175.5,159.5,114.6,13.5,12.2,10.2,,,1.6%,1%,1.2%,1.1%,115.2,0,1.2,0,31%,32.6%,33.1%,34.3%,$21.10,21.3%,17.1%,10.5%,10.2%,16.3%,18.7%,0.5,2.6,2.6,10.2,1%,0,35%,4.8,78.1
South Baltimore,186,179,196,218,299,$250500.00,$250000.00,$246750.00,$309750.00,$289900.00,82,59,31,15,23,8.5%,7.1%,1.1%,0.4%,19.2%,18%,15.7%,14.3%,1.4%,0.4%,0.7%,1.1%,0.6%,71.1%,70%,69.8%,70.4%,70.9%,4.2%,3.7%,2.6%,2.2%,3.7,3307,3311,3374,3373,3387,30.2,35.4,35.4,452.4,382.6,343.6,53.5,50.4,47.7,,,6%,5.4%,7.3%,7.3%,340.4,3,7.3,0.3,1%,0.5%,0.2%,0.4%,$0.00,0%,0%,0.2%,0.5%,0.7%,0.8%,0.9,0.3,0.3,47.8,5.5%,21.8,0.5%,1.5,14.4
Southeastern,49,46,37,39,69,$79000.00,$90000.00,$70000.00,$83000.00,$75000.00,86.5,67,80,36,65,25.5%,12.5%,6.3%,1.6%,41.2%,47.5%,60.4%,57.8%,1.6%,1.2%,1%,2.3%,2%,69.2%,62.8%,65.5%,65.2%,63.1%,5%,4.9%,5.8%,5.8%,6.6,1841,1821,1820,1832,1831,44.4,54.3,54.3,575.5,559.3,522.9,92.8,90.1,92.8,,,2%,2.3%,1.2%,1.7%,515,0.6,1.2,0.5,0.5%,0.7%,0.9%,2%,$0.00,5.9%,0%,0.7%,2%,5.2%,2.6%,0.6,1.1,1.1,93.4,1.3%,0,1.9%,1.1,106.1
Southern Park Heights,107,83,50,40,82,$21000.00,$18800.00,$19553.00,$28500.00,$19900.00,82,57,40,57,47,52.7%,23.2%,6.3%,0%,91.9%,73.2%,84.4%,80.4%,1.9%,0.9%,1.3%,2.8%,2.3%,48.3%,46%,46.1%,45.1%,44.1%,11.9%,12.1%,14%,13.8%,16.9,4037,4030,4006,3999,3987,44.2,58.3,58.3,295.3,272.8,229.3,32.8,34.2,36.3,,,2.2%,1.6%,1.6%,2%,232.8,0,1.6,0,17.7%,17.4%,17.1%,18.5%,$27.80,25.5%,24.3%,8.4%,10.2%,10.7%,12.8%,7.9,3.5,3.5,36.6,1.4%,1,19.6%,2.8,158
Southwest Baltimore,187,153,119,105,152,$22500.00,$17000.00,$21150.00,$22000.00,$23250.00,88.5,58,38,37,54,51.1%,27.6%,8.3%,4.1%,90%,92.4%,89%,86.4%,2.5%,0.9%,1.2%,1.8%,1.5%,29.4%,27.2%,26.5%,26.1%,25%,14.7%,14.2%,14.5%,14.3%,18.3,8243,8254,8227,8217,8252,30.6,63.2,63.2,202.5,175.6,138.2,18.3,15.8,16.3,,,1.7%,1.5%,1.3%,1.4%,138,0.2,1.3,0,25.2%,25%,25.9%,27.1%,$10.70,10.8%,8.2%,7.9%,9.8%,10.1%,11%,4.4,4,4,16.5,0.8%,0,27.8%,3,139.2
The Waverlies,74,60,50,69,84,$84950.00,$56100.00,$74000.00,$79200.00,$79950.00,97.5,42,63,28,54,43.1%,15.2%,5.1%,0%,51.7%,65.2%,55.7%,48.7%,2.3%,1.3%,1.6%,2.9%,2.1%,63.5%,61.5%,61.1%,60.3%,58.6%,6.4%,6.3%,6.8%,8.2%,8.4,2692,2692,2690,2690,2690,33.9,59.4,59.4,541.2,514.1,461.7,44.6,45,52.8,,,2.4%,2%,2.4%,2.3%,462.1,0.4,2.4,0.7,3.5%,3.7%,3.9%,4.1%,$7.90,3.8%,2.7%,4%,4.5%,3.2%,5.3%,0.4,3.7,3.7,53.9,2.8%,0,4.5%,1.5,182.9
Upton/Druid Heights,61,59,59,43,40,$20100.00,$30000.00,$50000.00,$30000.00,$71202.00,117,88,80,95,31,51.1%,20%,7.9%,0%,76.6%,52.7%,73.7%,68.8%,2.5%,0.7%,1.2%,2.1%,1.6%,32.4%,31.4%,31.5%,31.1%,30.4%,11.6%,12.1%,11.1%,11%,12.7,2179,2159,2153,2156,2163,33,60.2,60.2,192.7,173.7,150.7,11.1,12.1,16.7,,,5%,2.1%,2.4%,3.5%,150.7,0,2.4,0,35.5%,34%,34.3%,33.7%,$45.20,45.2%,41.7%,11.3%,12.1%,19.1%,35.5%,2.3,1.4,1.4,16.6,1.5%,0,34.2%,2.8,117.9
Washington Village/Pigtown,109,86,79,59,151,$70000.00,$58450.00,$92000.00,$80000.00,$113000.00,99.5,57,49,56,36,54.5%,9.6%,2%,5.6%,60.4%,62.5%,53.9%,53.8%,2.6%,2.9%,2.6%,3.2%,2.7%,46.5%,43.7%,42.9%,42.6%,41.1%,12.5%,12%,12.7%,11.9%,11.6,2752,2758,2760,2759,2777,38.5,60.7,60.7,378.5,326.1,295.8,37.4,38,39.1,,,4%,3%,3.3%,4.6%,294.2,0,3.3,0,8.7%,7.9%,7.9%,7.5%,$6.40,5%,0.5%,2.7%,3%,2.7%,3.4%,0,2.2,2.2,38.9,2.5%,9,7.2%,0,276.1
Westport/Mount Winans/Lakeland,53,33,32,30,62,$62250.00,$39000.00,$52900.00,$37700.00,$35500.00,103,48,51,41,30,37.8%,17.1%,4.8%,2.9%,71.1%,73.2%,82.3%,75.7%,2.5%,0.8%,2%,3.8%,3.1%,55.8%,52.6%,51.8%,50.3%,48.5%,6.6%,6.3%,7.8%,7%,8.7,2146,2137,2133,2134,2141,47.3,49,49,485.7,453.4,415.7,56.2,51.6,52,,,1.8%,1.2%,0.8%,1.2%,411.5,0,0.8,0,8.1%,8.4%,8.6%,8.4%,$39.70,39.7%,3.9%,3.5%,6.5%,6.1%,6.6%,0.5,1.9,1.9,51.8,0.5%,0,6.2%,33.6,119.1
Baltimore City,5913,5188,5166,4935,7822,$115000.00,$100000.00,$135000.00,$147000.00,$126325.00,100.5,60,43,33,38,33.1%,13.9%,3.4%,2%,50.8%,44.4%,44.4%,45.9%,2.2%,1%,1.4%,2.5%,2%,60.2%,57.6%,57.8%,57.2%,56.1%,7.5%,7.5%,7.5%,7.6%,8.4,202265,202309,202387,202362,204295,38.7,51.8,51.8,481.8,441.3,380.2,49.5,46,49.3,,,2.5%,2.4%,2.6%,3.1%,376.2,0.7,2.6,0.8,7.9%,7.8%,8%,8%,$19.70,18.6%,15.2%,3.8%,4.7%,4.7%,5.9%,1.6,1.9,1.9,49.4,2.7%,2.3,8.1%,2.1,131.3
