Neighborhood,shomes10,shomes11,shomes12,shomes13,shomes14,salepr10,salepr11,salepr12,salepr13,salepr14,dom10,dom11,dom12,dom13,dom14,reosa11,reosa12,reosa13,reosa14,cashsa11,cashsa12,cashsa13,cashsa14,fore10,fore11,fore12,fore13,fore14,ownroc10,ownroc11,ownroc12,ownroc13,ownroc14,nomail10,nomail11,nomail12,nomail13,nomail14,totalres10,totalres11,totalres12,totalres13,totalres14,affordm13,affordr13,affordr14,homtax11,homtax12,homtax13,owntax11,owntax12,owntax13,histax12,histax13,resrehab10,resrehab11,resrehab12,resrehab13,homtax14,constper11,constper12,constper13,vacant10,vacant11,vacant12,vacant13,baltvac11,baltvac12,baltvac13,vio10,vio11,vio12,vio13,demper11,demper12,demper13,owntax14,resrehab14,constper14,vacant14,demper14,hcvhouse14
Cross-Country/Cheswolde,53,69,86,119,117,$165000.00,$143500.00,$111250.00,$131250.00,$165000.00,120.5,109,60,38,35,7.4%,4.2%,1.7%,1.1%,55.6%,55.6%,52.5%,49.4%,0.9%,0.2%,0.5%,1.3%,0.9%,84.4%,83.4%,83.6%,83.1%,82.3%,1.7%,1.9%,2.2%,2.3%,1.6,2914,2918,2925,2925,2926,43.8,42.9,42.9,732,617.1,439,71.6,61.2,63.2,,,2.8%,2.8%,3.1%,4.2%,436.1,0.7,3.1,3.1,0.1%,0.2%,0.1%,0.1%,$0.00,0%,0%,0.4%,0.6%,0.3%,0.5%,0,1,1,63.6,6%,0.7,0.2%,0.3,25.1
Dickeyville/Franklintown,4,8,11,9,10,$245000.00,$140625.00,$225000.00,$235000.00,$227550.00,218.5,81,114,45,126,62.5%,15.4%,0%,0%,50%,15.4%,30.8%,33.3%,1.5%,0.3%,0.3%,1.6%,1.2%,70.9%,45.6%,69.2%,68.3%,66.9%,0.9%,0.9%,1.8%,2%,1.9,333,319,318,322,323,26.5,49.7,49.7,551.7,506.3,475.2,37.6,34.6,49.7,,,3.9%,2.2%,3.1%,2.8%,448.9,0,3.1,6.2,1.5%,1.4%,4.7%,2.5%,$0.00,0%,0%,4.5%,5%,1.6%,2.2%,0,0,0,49.5,5.3%,3.1,2.2%,0,143.2
Dorchester/Ashburton,84,73,57,60,148,$68150.00,$80000.00,$100000.00,$88500.00,$86250.00,120,75,59,29,40,45.9%,27.3%,7.8%,3.6%,55.3%,50%,47.6%,52.9%,2.8%,1.5%,2%,3.9%,3.2%,73.6%,67.8%,70.1%,68.8%,67.2%,8.8%,9.1%,7.3%,7.1%,7.8,3421,3421,3419,3424,3422,50.4,61.5,61.5,691,654.9,606.3,86.5,73.1,82.9,,,1.9%,2.4%,2.8%,3.2%,612.8,0.6,2.8,0.3,3.3%,3.2%,3.3%,2.9%,$4.30,4.4%,4.1%,2.5%,2.5%,1.8%,2.8%,0.3,1.8,1.8,84.7,3%,0.9,3.1%,1.2,131.8
Downtown/Seton Hill,20,17,30,25,34,$210450.00,$157600.00,$197500.00,$220000.00,$235250.00,111,106,46,42,88,16.7%,13%,3.7%,0%,55.6%,39.1%,37%,15.8%,5.1%,3.9%,3.4%,2.1%,2.5%,43.3%,40.7%,40.2%,39.9%,37.6%,4.8%,4.7%,4.3%,3.8%,1.8,670,670,676,675,687,50.2,49.6,49.6,210.5,284,232.6,0,7.4,7.4,,,0.9%,1%,0.9%,2.4%,228.5,0,0.9,0,8.4%,8.9%,8.6%,9.9%,$55.00,55.2%,53.7%,7.2%,11.3%,9%,12.7%,4.5,3,3,7.3,3.3%,1.5,10.2%,2.9,78.5
Edmondson Village,70,39,49,40,87,$49100.00,$41000.00,$60000.00,$56444.00,$55000.00,95,79,59,40,39,42.1%,20%,7.5%,3.7%,63.2%,58.2%,73.1%,51.9%,2.3%,0.9%,1.7%,3.4%,2.5%,70.9%,64.8%,66.6%,66.1%,64.5%,7.8%,8.4%,8%,8.1%,9.2,2843,2835,2832,2832,2831,49.7,61.2,61.2,662.8,558.3,464.3,107.9,94.3,96.8,,,2.1%,1.7%,1.7%,2.4%,465.2,0.4,1.7,0,2.6%,2.9%,3.4%,3.2%,$5.80,4.2%,1.1%,3.8%,6.2%,1.6%,1.8%,0,0,0,97.8,2%,0,3.7%,0,184.6
Fells Point,170,173,178,191,241,$215500.00,$205000.00,$226500.00,$244000.00,$249000.00,122.5,60,35,21,33,21.8%,8%,1%,0%,29.9%,27.3%,22.4%,21.8%,1.6%,0.8%,0.7%,1.1%,1%,53.2%,51.5%,51.9%,51.7%,51.4%,7%,6.8%,3.7%,4%,4,4058,4073,4076,4080,4096,27.8,34.5,34.5,349.6,304.7,275.5,37.1,28.9,33.6,,,4.4%,3.7%,4.7%,5.3%,274.9,0.3,4.7,0,1%,1.1%,0.9%,1.2%,$0.00,0%,0%,2.1%,1.9%,1.3%,1.6%,1,0,0,33.7,4.8%,0.7,0.8%,1,12.8
Forest Park/Walbrook,81,87,55,49,129,$60250.00,$50000.00,$50000.00,$70000.00,$65500.00,122,63,41,35,49,45.1%,16.7%,4%,2%,62.6%,61.1%,53.3%,58.8%,4.5%,1.5%,1.8%,4.1%,3.5%,63.4%,59.9%,60.1%,58.1%,56.4%,11.5%,11.3%,11.4%,13.5%,11.7,2883,2881,2879,2882,2879,39,58.2,58.2,532.8,546,493.8,56.2,52.4,59.3,,,3.8%,2.7%,2.7%,4.3%,496.7,0.7,2.7,1,5.6%,5.7%,6.4%,6.2%,$0.60,1.1%,0.6%,5.1%,5.1%,4.6%,6.5%,1,0,0,61.8,3.6%,0.7,6%,0,209.8
Glen-Fallstaff,90,73,55,92,138,$102600.00,$90000.00,$127500.00,$127450.00,$87500.00,120,60,61,54,47,30%,20.3%,5.6%,1.2%,57.5%,50%,46.1%,42.4%,2.2%,0.9%,1.4%,1.9%,2%,78.5%,75.6%,76.5%,75.5%,73.7%,4.1%,4.3%,4.1%,4%,4.9,3691,3685,3685,3686,3719,48,46.8,46.8,629,675.2,587.4,75.2,77.9,86.8,,,2.7%,1.2%,2.1%,2.8%,580.8,2.2,2.1,0.5,0.7%,0.8%,0.9%,1.1%,$0.00,0%,2.5%,1.1%,1.3%,1.4%,1.4%,0.3,0.8,0.8,87.9,2.2%,1.3,1.1%,0.8,199.4
Greater Charles Village/Barclay,110,108,121,121,177,$146000.00,$135000.00,$185000.00,$170000.00,$189900.00,90,73,36,22,41,27.1%,9.4%,2.4%,2.5%,46.9%,47.9%,45.6%,36.1%,1.6%,1%,1.3%,1.9%,1.3%,44.9%,43.6%,43.4%,43%,43.2%,5%,5.4%,5.9%,5.9%,5.4,3675,3675,3690,3694,3681,39.6,51.4,51.4,369.5,365.3,319.7,21.2,20.3,22.5,,,2.7%,2.9%,4.1%,4.2%,325.5,0,4.1,0,9.6%,9%,7.6%,6.8%,$42.70,37.1%,8.8%,3.6%,6.3%,8.4%,9.3%,0.3,11.7,11.7,22.8,2.9%,0,5.7%,2.7,68.7
Greater Govans,92,61,54,73,100,$47094.00,$37000.00,$62750.00,$60000.00,$50600.00,99,50,71,45,44,47.4%,25%,5.4%,4.6%,69.2%,61.7%,67.4%,66.1%,2.1%,1.1%,1.5%,2.9%,2.5%,64.4%,60.6%,62.2%,61.3%,59.2%,8.5%,8.5%,7.9%,8.7%,11.1,3720,3730,3728,3729,3731,42,50.7,50.7,591.7,561.4,506,75.6,74.6,81.5,,,1.5%,1.4%,2%,2.1%,506.6,0,2,0.5,4.1%,4%,4.5%,4.5%,$16.00,4.8%,3.6%,3.2%,4.5%,2.4%,4.7%,2.4,1.9,1.9,81.7,2.6%,0.8,4.9%,0.8,199.1
Greater Mondawmin,75,52,44,42,67,$34000.00,$41950.00,$28000.00,$57000.00,$40500.00,88,69,41,40,33,41.4%,29.4%,3.1%,1.4%,74.1%,82.4%,70.3%,68.1%,2.1%,1.1%,1.5%,3%,1.6%,55.3%,51.6%,52.5%,51.5%,50%,12.7%,12.6%,13%,14.2%,17.2,3439,3437,3432,3434,3444,31.2,63.5,63.5,438.5,376.5,293.5,45.7,39.9,45.4,,,1.3%,1.8%,1.5%,1.4%,293.3,0,1.5,0,10.3%,10.3%,10.9%,11.4%,$6.50,7.2%,6.4%,4.9%,5.5%,4.8%,6.6%,3.5,0.9,0.9,45.6,1.8%,0.9,12%,0,250.5
Greater Roland Park/Poplar Hill,90,98,120,116,157,$380000.00,$335000.00,$316250.00,$320000.00,$310000.00,110.5,37,40,17,36,12.4%,2.6%,0%,0%,33.3%,28.2%,25.2%,34.1%,0.4%,0.2%,0.3%,0.4%,0.2%,76.7%,73.2%,75.7%,75.7%,75.4%,2.7%,2.6%,2.9%,3.2%,3,3030,3020,3021,3023,3023,33.8,43.5,43.5,608.3,541.5,403.9,19.9,21.2,18.2,,,3.6%,3.7%,5.3%,5%,406.2,0.3,5.3,0.3,0.1%,0.1%,0.1%,0%,$0.00,0%,0%,0.5%,0.8%,0.9%,0.9%,0.3,0.3,0.3,18.5,4.5%,1.3,0.1%,0.3,5.9
Greater Rosemont,190,141,83,85,145,$29700.00,$20000.00,$39900.00,$21875.00,$20000.00,101.5,50,41,32,54,52.5%,34.9%,9.4%,3%,86.5%,87.2%,93.5%,88.8%,2.3%,1%,1.6%,2.8%,2.2%,50.9%,48.1%,47.3%,46.7%,45.4%,10.5%,10.3%,10.9%,11.3%,15.3,7267,7212,7189,7164,7133,51,58.8,58.8,357.3,272.5,224,50.9,44.1,50.4,,,2%,1.4%,1.5%,1.6%,225.4,0.4,1.5,0,14.9%,15.5%,16%,15.7%,$7.90,7.7%,6.5%,5.6%,7%,6.1%,7.6%,0.1,4.3,4.3,50.8,1.1%,0.7,16.3%,3.4,245.4
Greenmount East,93,54,41,52,118,$12900.00,$19000.00,$18508.00,$32450.00,$30000.00,117,76,75,88,72,34.1%,17.1%,4.3%,3.1%,88.6%,74.3%,63%,58.3%,1.2%,0.4%,0.6%,1.2%,1.1%,30.2%,29.3%,29.1%,28.6%,28%,16.6%,16.3%,15.8%,16.3%,17.5,4100,4087,4059,4071,4088,49.5,55.3,55.3,149,122.4,104.6,8.3,11.6,13.5,,,2.9%,2.1%,3%,3.6%,104.2,0,3,0,38.6%,34.7%,35.6%,32.7%,$31.40,29.7%,25.6%,15.5%,19.2%,23.2%,27.1%,16.2,11.1,11.1,13.7,1.7%,0.2,32.8%,8.6,158.4
Hamilton,120,123,134,104,203,$139175.00,$105975.00,$116600.00,$120000.00,$106000.00,106,58,57,40,45,41.6%,18.9%,3.8%,1.6%,41.6%,28.8%,30.1%,35.9%,3.1%,1.2%,2%,3.8%,3.3%,83.1%,79.3%,80.1%,78.9%,76.4%,5.4%,5.8%,4.8%,4.7%,6,4368,4367,4368,4368,4364,41.3,53.7,53.7,733.2,680.2,609.2,77.6,74.2,79.2,,,1.9%,2.2%,2%,2.1%,609.3,0.9,2,0.7,0.3%,0.5%,0.4%,0.6%,$0.00,0%,0%,1.6%,2.1%,1.4%,2%,0,0.2,0.2,80.7,2.8%,1.1,0.9%,0.5,172.4
Harbor East/Little Italy,46,42,47,51,99,$242500.00,$202500.00,$242000.00,$292900.00,$298000.00,111,49,84,35,55,31.3%,2.6%,0%,0%,43.8%,42.1%,53.7%,44.1%,1.2%,0.5%,0.7%,1.5%,1.6%,41.9%,40.6%,37.8%,37.6%,36.9%,4.6%,5%,3.6%,3.6%,3.8,1596,1595,1695,1695,1698,33.4,44.8,44.8,234.5,182.9,160.5,5.6,19.5,21.8,,,1.4%,1.6%,1.4%,1.8%,163.7,0,1.4,0,1.6%,1.7%,1.7%,2.1%,$18.50,10.7%,5.7%,2.8%,2.5%,2.7%,6.7%,0,1.2,1.2,21.8,3.8%,0,1.9%,2.4,50
Harford/Echodale,124,139,154,130,269,$154950.00,$134500.00,$134950.00,$144950.00,$123999.00,98,76,51,34,47,30.7%,12.6%,2.3%,4.4%,30.7%,25.8%,27.1%,31%,2.6%,1.3%,2.1%,3.3%,2.7%,84.5%,80.6%,81.3%,80.5%,78.1%,4.9%,4.6%,4.3%,4.8%,5.9,5076,5045,5047,5054,5050,37,46.5,46.5,753,704.4,631,78.7,74.9,78.2,,,1.9%,1.9%,2.1%,2.1%,625.7,0.6,2.1,0.4,0.2%,0.3%,0.3%,0.5%,$0.00,0%,0%,1.5%,1.9%,1.9%,2.2%,0.2,0.4,0.4,78.6,2.5%,0.2,1%,1,120.4
Highlandtown,145,135,177,158,237,$215000.00,$191500.00,$220000.00,$250000.00,$265000.00,107,46,26,21,41,25.3%,8.3%,1.5%,0%,31.2%,25.9%,24.2%,21.7%,2.2%,1%,0.9%,1.4%,1.2%,61.9%,59.8%,59.4%,60%,58.3%,8.8%,8.3%,8.8%,7.3%,6.7,3163,3168,3168,3169,3211,27.4,45,45,466.9,408.5,372.7,60.6,56.5,52.1,,,4.4%,4.7%,6%,8.2%,367.2,0.3,6,1.3,1%,1.1%,1.6%,1.7%,$0.00,0%,0%,1.4%,1.4%,1.8%,3.3%,0.6,0.3,0.3,51.7,6%,8.4,1.2%,0.9,66.1
Howard Park/West Arlington,71,60,73,50,109,$115000.00,$74250.00,$115000.00,$115000.00,$70000.00,104.5,51,22,40,34,47.8%,21.1%,9.1%,2%,53.6%,39.4%,53.2%,44.1%,3.8%,0.9%,1.5%,3%,3.4%,78%,74.7%,75.3%,73.9%,72.3%,6.4%,7.1%,6.9%,7.7%,9.6,3165,3157,3157,3157,3154,50.8,64,64,703.5,650.3,584.1,88.4,83.3,86.5,,,2.8%,3.1%,2.4%,3.1%,577.4,1.6,2.4,1,2%,2%,4.1%,2.3%,$3.00,9.4%,0%,2.6%,2.2%,2.1%,3%,1,1.3,1.3,88.8,3.4%,1.6,2.4%,0.6,149.8
Inner Harbor/Federal Hill,313,263,336,321,373,$275000.00,$280000.00,$284950.00,$314000.00,$320000.00,99,56,31,23,28,10.6%,4.8%,0.8%,0.7%,21.6%,26.3%,24.2%,22.1%,1.3%,0.4%,0.7%,1.2%,0.9%,63.5%,61.5%,60.7%,60.5%,59%,3.6%,3.4%,2.8%,2.8%,2.9,5894,5927,5949,5954,5992,31.1,46.2,46.2,426.7,334.3,289.7,32.7,29.6,30.4,,,3.9%,3.7%,4.4%,4.6%,287.7,0.5,4.4,0.8,0.6%,0.5%,0.4%,0.5%,$3.70,4.2%,0%,0.4%,1.1%,1%,1.3%,0.5,0.2,0.2,30.4,4.8%,2.5,0.6%,1,59.5
Lauraville,129,111,132,118,199,$137000.00,$92900.00,$114450.00,$128750.00,$132000.00,106,67,46,34,46,35.8%,22.6%,2.9%,2.7%,46.7%,38.7%,37.1%,32.4%,2.5%,1.3%,2%,3%,2.6%,79%,76%,75.9%,74.6%,73.6%,7.1%,6.9%,6.8%,7.2%,8,4480,4474,4478,4479,4475,34.5,52.9,52.9,684.4,675.3,608.8,59.7,58.5,61.4,,,2%,2.6%,2.5%,3.6%,610.9,0.9,2.5,1.1,0.7%,0.8%,1.2%,1.5%,$0.00,1.8%,0%,1.3%,2.1%,1.3%,2.5%,0,0.7,0.7,62.1,3.4%,0.4,1.6%,0,198.3
Loch Raven,99,88,64,68,125,$134000.00,$94000.00,$98500.00,$109000.00,$73100.00,98.5,57,38,52,34,29.3%,11.8%,3.4%,1.9%,36%,40.8%,25%,43.4%,2.7%,1%,1.4%,3.5%,2.3%,81.5%,80.5%,79.8%,79.1%,77.7%,2.2%,2.1%,2.7%,2.9%,2.9,4229,4230,4231,4231,4228,41.3,50.7,50.7,762.7,724.4,600.1,64.3,59.1,67.8,,,1.5%,1.2%,0.9%,1.2%,602.6,0.7,0.9,0,0.1%,0.1%,0.1%,0.3%,$0.00,0%,0%,1.4%,2.2%,2.6%,2.8%,0,0,0,68.4,1.5%,0,0.6%,0,91.3
Madison/East End,110,77,48,34,71,$25000.00,$16000.00,$34500.00,$26250.00,$25000.00,122.5,53,36,29,61,45.5%,20%,8%,0%,93.9%,94%,85.3%,87%,2.4%,1%,1.3%,2.9%,1.9%,26.9%,24.5%,25.6%,24.9%,24.3%,13%,11.2%,11.5%,12.7%,15,3220,3445,3212,3238,3237,42.3,64.1,64.1,164.9,162.8,152.9,10.2,12.8,13.3,,,3.7%,2.8%,3%,1.8%,153.8,0,3,0,25.7%,22.7%,20.7%,20.7%,$17.30,18.3%,14.9%,3.7%,3.9%,4.6%,5.8%,7.6,3.1,3.1,13.6,1.2%,0,20.1%,15.8,328.8
Medfield/Hampden/Woodberry/Remington,223,187,260,226,334,$164950.00,$139000.00,$144600.00,$178000.00,$175000.00,97,58,37,28,29,16.4%,8.4%,0.7%,1.3%,35%,31.2%,24.3%,23.2%,1.6%,0.7%,0.8%,1.5%,1.3%,68.7%,64.5%,67.3%,66.8%,64.8%,5%,5.1%,4.7%,3.9%,3.9,6750,6739,6728,6747,6810,31.4,43.3,43.3,552.8,530.5,482.3,53.4,55.6,52,,,2.4%,1.9%,2.9%,3.6%,478,0.9,2.9,1.8,1%,0.9%,1%,0.9%,$20.00,16.4%,1.7%,1.3%,2.4%,1.6%,2.2%,1,0.6,0.6,51.7,3.8%,2.5,0.8%,0.1,21.5
Midtown,81,105,159,126,149,$195000.00,$190000.00,$229900.00,$207450.00,$200000.00,83,77,54,33,33,17.7%,11.5%,0.9%,3.3%,40%,26.5%,28.7%,35%,1.6%,1.4%,1.5%,2.5%,1%,41.9%,41.7%,41.5%,42%,41.1%,6.7%,6.9%,6.4%,5.8%,5.8,3279,3283,3431,3440,3441,31.8,44.2,44.2,333.8,309.5,282.3,4,9,11.9,,,3.9%,3.9%,4.7%,4.7%,282.5,0.3,4.7,0.6,5.3%,4.7%,4.1%,3.6%,$40.40,43.9%,29%,5.3%,5.1%,6.3%,8.6%,0.3,0,0,12.2,5.8%,1.5,2.9%,0.6,76.6
Midway/Coldstream,86,75,52,43,70,$24500.00,$17500.00,$19400.00,$22000.00,$17005.00,84.5,55,60,26,28,48.2%,27.1%,5.5%,3.1%,85.9%,84.7%,90.9%,93.9%,2.1%,0.9%,1.2%,2.5%,1.9%,40.9%,39.2%,38.9%,37.7%,36.4%,16.5%,17%,15.4%,15.8%,16.4,4176,4161,4151,4148,4118,36.2,64.4,64.4,217,236.3,148,24.5,27,27.7,,,2%,1.6%,1.6%,1.6%,149.1,0,1.6,0,16.6%,16.2%,17.7%,18.9%,$11.00,10.9%,11.1%,7%,9%,7.5%,8.8%,1.7,1.9,1.9,28.4,1.3%,0,20.9%,6.3,184.5
